TDC_KVHX;CanOrderFiber;CanOrderCoax;IsRgu
1010020030A01TH;False;True;
1010020030A04TV;False;True;True
1010020030AKLTV;False;True;
1010020030B02TH;False;True;True
1010020030B03TH;False;True;True
1010020030BSTTV;False;True;True
1010020030BSTTV;False;True;True
1010020033;False;True;
1010006004 01TH;True;True;
1010006004 02MF;True;True;True
1010006004 02MF;True;True;True
1010008004;False;False;
1010008006 01;False;False;
1010008012;False;False;
1010008014;False;False;
1010008018 01;False;False;
1010008019;False;False;
1010008026;False;False;
1010008028;False;False;
1010008034;False;False;
1010008036;False;False;True
1010008036;False;False;True
1010008036;False;False;True
1010008041;False;False;
1010008042 01;False;False;
1010008048;False;False;
1010008049;False;False;
1010012002 STTH;False;True;True
1010012002 STTH;False;True;False
1010012002 STTH;False;True;True
1010012003;False;False;
1010012004 STTH;False;True;True
1010012006 01TH;False;True;
1010012008 01TV;False;True;True
1010012008 02TV;False;True;
1010012010 STTH;False;True;True
1010012010 STTH;False;True;True
1010014004 01TH;False;True;True
1010014004 01TH;False;True;True
1010014004 01TH;False;True;True
1010014004 STTV;False;True;True
1010014004 STTV;False;True;True
1010014006 01;False;True;True
1010014006 01;False;True;True
1010014006 01;False;True;True
1010014010 STTV;False;True;
1010014014;False;False;
1010014028;False;True;True
1010014032;False;True;True
1010014032;False;True;True
1010014042;False;True;True
1010014046;False;True;True
1010014060;False;True;True
1010014060;False;True;True
1010014064;False;True;True
1010014078;False;True;True
1010014082;False;True;True
1010014092;False;True;True
1010014096;False;True;
1010014110;False;True;True
1010014110;False;True;True
1010014110;False;True;True
1010014114;False;True;True
1010014114;False;True;True
1010014114;False;True;True
1010014128;False;True;True
1010014128;False;True;True
1010014132;False;True;True
1010014142;False;True;True
1010014146;False;True;True
1010014146;False;True;True
1010016003;False;True;True
1010016007;False;True;True
1010016007;False;True;True
1010016007;False;True;True
1010020003 01TH;False;True;True
1010020003 02TH;False;True;
1010020003 04TV;False;True;True
1010020003 04TV;False;True;True
1010020003 STTV;False;True;True
1010020005 01;False;True;True
1010020005 01;False;True;True
1010020007 01TV;False;True;
1010020007 02TV;False;True;
1010020007A01;False;False;
1010020007A02;False;True;
1010020009 02TH;True;True;True
1010020009 02TH;True;True;True
1010020009 02TH;True;True;True
1010020009 02TH;True;True;True
1010020009 03TH;True;True;True
1010020009 04TH;True;True;True
1010020010;False;False;
1010020010 ST;False;False;
1010020011 04TH;False;True;
1010020011 STTH;False;True;True
1010020013 03TH;False;True;
1010020013 04TH;False;True;True
1010020014 01TH;False;True;True
1010020014 01TH;False;True;True
1010020014 02TH;False;True;True
1010020014 02TH;False;True;True
1010020014 02TH;False;True;True
1010020014 02TH;False;True;True
1010020014 STTH;False;True;
1010020015 01TH;False;True;
1010020015 04TV;False;True;
1010020015 STTV;False;True;
1010020016 ST;False;True;True
1010020017 01TV;False;True;True
1010020017 05;False;True;True
1010020017 05;False;True;True
1010020017 STTH;False;True;
1010020018 03TH;False;True;True
1010020018 03TH;False;True;True
1010020018 04TH;False;True;True
1010020018 04TH;False;True;True
1010020018 04TH;False;True;True
1010020018 STTH;False;True;True
1010020019 01TH;False;True;True
1010020019 04TV;False;True;
1010020019 05TV;False;True;
1010020020 02TV;False;True;True
1010020020 02TV;False;True;False
1010004001 03TV;False;True;True
1010004001 04TV;False;True;True
1010004001 04TV;False;True;True
1010004001 04TV;False;True;True
1010004001 04TV;False;True;True
1010004001 04TV;False;True;True
1010004002 KL;False;False;
1010004003 01;False;True;True
1010004003A01;False;True;True
1010004003A03;False;True;True
1010004006 02TV;False;False;
1010004006 03TV;False;False;
1010004006 STTH;False;False;True
1010004007;False;False;False
1010004007;False;False;True
1010004007 04TH;False;True;True
1010004007 04TH;False;True;True
1010004007 04TH;False;True;True
1010004007 04TH;False;True;True
1010004007 KL;False;True;
1010004008 03TV;False;True;
1010004008 ST;False;True;
1010004009 03TH;False;True;True
1010004009 03TH;False;True;True
1010004009 04TH;False;True;True
1010020020 03TV;False;True;
1010020020 04TH;False;True;
1010020020 04TV;False;True;
1010020020 KLTH;False;True;
1010020021A05TH;False;True;True
1010020021A05TH;False;True;True
1010020021A05TV;False;True;True
1010020021ASTTH;False;True;
1010020021ASTTV;False;True;
1010020021B01TH;False;True;
1010020022 01TH;False;False;True
1010020022 01TH;False;False;True
1010020022 01TH;False;False;True
1010020022 01TH;False;False;True
1010020022 01TV;False;False;True
1010020022 02TH;False;False;True
1010020022 02TH;False;False;True
1010020022 02TV;False;False;True
1010020022 02TV;False;False;True
1010020023 020001;False;False;
1010020023 020002;False;False;
1010020023 020003;False;False;
1010020023 020004;False;False;
1010020023 ST0003;False;False;
1010020024 01;False;False;
1010020024 02TH;False;True;
1010020024 02TV;False;True;
1010020025 010005;False;False;
1010020025 020001;False;False;
1010020025 020002;False;False;
1010020025 020003;False;False;
1010020025 ST0002;False;False;
1010020025 ST0003;False;False;True
1010020025 ST0004;False;False;
1010020026 01TH;False;True;
1010020027 02TV;False;False;True
1010020027 02TV;False;False;True
1010020027 03TH;False;False;
1010020027 03TV;False;False;True
1010020027 03TV;False;False;True
1010020027 03TV;False;False;True
1010020027 03TV;False;False;True
1010020027 04TH;False;False;
1010020028A02;False;True;
1010020028A03TH;False;True;
1010020028A03TV;False;True;
1010020028A04TH;False;True;
1010020028A04TV;False;True;
1010020029 02TV;False;True;
1010020029 03TH;False;True;
1010020029 03TV;False;True;
1010020029 04TH;False;True;
1010020030ASTTH;False;True;
1010020030ASTTV;False;True;True
1010020030B01TH;False;True;True
1010020030B01TV;False;True;True
1010020030B01TV;False;True;True
1010020034 01TV;False;False;
1010020034 02TH;False;False;
1010020034 02TV;False;False;True
1010006004 02TV;True;True;
1010006004 STMF;True;True;True
1010006004 STTH;True;True;True
1010006004 STTV;True;True;True
1010008015;False;False;True
1010008016;False;False;
1010008017;False;False;
1010008018;False;False;True
1010008018;False;False;True
1010008029;False;False;True
1010008029;False;False;True
1010008030;False;False;
1010008031;False;False;
1010008032;False;False;True
1010008032;False;False;True
1010008032;False;False;True
1010008032;False;False;True
1010008033 01;False;False;
1010008043;False;False;True
1010008043;False;False;True
1010008043;False;False;True
1010008043;False;False;True
1010008044;False;False;
1010008045;False;False;True
1010008046;False;False;True
1010012004 01TH;False;True;
1010012004 01TV;False;True;True
1010012004 01TV;False;True;True
1010012004 02TH;False;True;True
1010012004 02TV;False;True;True
1010012008 STTV;False;True;
1010012010 01TH;False;True;True
1010012010 01TH;False;True;True
1010012010 01TV;False;True;True
1010012010 02TH;False;True;
1010014010 01TH;False;True;True
1010014010 01TV;False;True;True
1010014010 01TV;False;True;True
1010014010 01TV;False;True;True
1010014010 01TV;False;True;True
1010014010 02TH;False;True;True
1010014010 02TH;False;True;True
1010014010 02TH;False;True;True
1010014010 02TH;False;True;True
1010014010 02TV;False;True;True
1010014034;False;True;True
1010014036;False;True;True
1010014038;False;True;True
1010014040;False;True;True
1010014040;False;True;True
1010014068;False;True;True
1010014070;False;True;True
1010014072;False;True;True
1010014072;False;True;True
1010014072;False;True;True
1010014074;False;True;True
1010014074;False;True;True
1010014074;False;True;True
1010014074;False;True;True
1010014100;False;True;True
1010014100;False;True;True
1010014100;False;True;True
1010014102;False;True;True
1010014102;False;True;True
1010014102;False;True;True
1010014102;False;True;True
1010014102;False;True;True
1010014104;False;True;True
1010014106;False;True;True
1010014108;False;True;True
1010014134;False;True;True
1010014134;False;True;True
1010014136;False;True;True
1010014138;False;True;
1010014140;False;True;True
1010014140;False;True;True
1010020001 01;False;True;True
1010020001 01;False;True;True
1010020001 01;False;True;True
1010020001 02;False;True;True
1010020001 03;False;True;True
1010020001 04;False;True;
1010020005 02;False;True;True
1010020005 02;False;True;True
1010020005 03;False;True;True
1010020005 03;False;True;True
1010020005 ST;False;False;
1010020007 01TH;False;True;True
1010020007A03;False;True;True
1010020007A04;False;True;True
1010020007A04;False;True;True
1010020007A04;False;True;True
1010020007A04;False;True;True
1010020007A04;False;True;True
1010020007AST;False;True;
1010020008;False;False;True
1010020008;False;False;True
1010020008;False;False;True
1010020008;False;False;True
1010020008;False;False;True
1010020011 01TV;False;True;
1010020011 02TH;False;True;True
1010020011 02TV;False;True;
1010020011 03TH;False;True;
1010020013 04TV;False;True;
1010020013 05;False;True;
1010020013 STTH;False;True;
1010020013 STTV;False;True;
1010020015 01TV;False;True;
1010020015 02TH;False;True;
1010020015 02TV;False;True;True
1010020015 03TH;False;True;
1010020015 03TV;False;True;True
1010020017 02TV;False;True;True
1010020017 03TH;False;True;
1010020017 03TV;False;True;
1010020017 04TH;False;True;
1010020018 04TV;False;True;True
1010020018 KLTH;False;False;
1010020018 KLTV;False;False;
1010020018 STMF;False;True;True
1010020019 STTV;False;True;
1010020020;False;False;
1010020020 01TH;False;True;
1010020020 01TV;False;True;
1010004001 05;False;True;True
1010004001 05;False;True;True
1010004001 05;False;True;True
1010004001 KL;False;False;
1010004001 STTH;False;True;
1010004001 STTV;False;True;True
1010004003AST;False;True;True
1010004006;False;False;
1010004006 01TH;False;False;
1010020020 03TH;False;True;
1010020020 KLTV;False;True;
1010020020 STTV;False;True;
1010020021A03TV;False;True;
1010020021A04TV;False;True;True
1010020021A04TV;False;True;True
1010020021B02TH;False;True;True
1010020021B02TH;False;True;True
1010020021B03TH;False;True;True
1010020021B03TH;False;True;True
1010020021B03TH;False;True;True
1010020021B05TV;False;True;True
1010020021BSTTV;False;True;True
1010020022 03TV;False;False;True
1010020022 04TV;False;False;True
1010020022 04TV;False;False;True
1010020023 010003;False;False;
1010020023 010005;False;False;
1010020023 020005;False;False;
1010020023 030002;False;False;
1010020023 040004;False;False;
1010020023 ST0001;False;False;
1010020024 03TV;False;True;
1010020024 04TV;False;True;True
1010020025 010001;False;False;
1010020025 010003;False;False;
1010020025 020005;False;False;
1010020025 030002;False;False;
1010020025 040004;False;False;
1010020025 ST0001;False;False;
1010020026 01TV;False;True;
1010020026 02TV;False;True;
1010020026 ST;False;True;
1010020027 01TV;False;False;True
1010020028;False;False;
1010020028 01TV;False;True;
1010020028 04TH;False;True;True
1010020028 ST;False;True;
1010020028ASTTH;False;True;
1010020028B01;False;True;True
1010020029 01TH;False;True;
1010020029 02TH;False;True;
1010020029 04TV;False;True;
1010020029 ST;False;False;
1010020030A04TH;False;True;
1010020030AKLTH;False;True;True
1010020030AKLTH;False;True;True
